group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_prove_3072,,,,,2059488785.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2065848045.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2123430928.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2054796997.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2044891474.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2049738003.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2124070147.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2047901334.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2110268116.0,ns,1
AsiaCCS_nizk_prove_3072,,,,,2040671190.0,ns,1
