group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
AsiaCCS_nizk_prove_4096,,,,,4402800419.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4276983005.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4371216670.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4381446635.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4391559537.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4377638306.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4637873492.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4550079723.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4555387458.0,ns,1
AsiaCCS_nizk_prove_4096,,,,,4524314268.0,ns,1
