group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hsmcl_nizk_prove_112_v0,,,,,2160333468.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2185224343.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2152317172.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,1978087198.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2000114200.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,1988360752.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2127514214.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,1947407710.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2101888658.0,ns,1
hsmcl_nizk_prove_112_v0,,,,,2009092717.0,ns,1
